group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
64bit,fnv,16384,16384,bytes,984331.0,ns,71
64bit,fnv,16384,16384,bytes,2049164.0,ns,142
64bit,fnv,16384,16384,bytes,3037895.0,ns,213
64bit,fnv,16384,16384,bytes,4179731.0,ns,284
64bit,fnv,16384,16384,bytes,5150561.0,ns,355
64bit,fnv,16384,16384,bytes,5993688.0,ns,426
64bit,fnv,16384,16384,bytes,7059121.0,ns,497
64bit,fnv,16384,16384,bytes,7917048.0,ns,568
64bit,fnv,16384,16384,bytes,9097286.0,ns,639
64bit,fnv,16384,16384,bytes,9927711.0,ns,710
64bit,fnv,16384,16384,bytes,10894741.0,ns,781
64bit,fnv,16384,16384,bytes,12035477.0,ns,852
64bit,fnv,16384,16384,bytes,12915305.0,ns,923
64bit,fnv,16384,16384,bytes,13862034.0,ns,994
64bit,fnv,16384,16384,bytes,14970869.0,ns,1065
64bit,fnv,16384,16384,bytes,15868897.0,ns,1136
64bit,fnv,16384,16384,bytes,16814327.0,ns,1207
64bit,fnv,16384,16384,bytes,17937462.0,ns,1278
64bit,fnv,16384,16384,bytes,18732487.0,ns,1349
64bit,fnv,16384,16384,bytes,19900724.0,ns,1420
64bit,fnv,16384,16384,bytes,20887954.0,ns,1491
64bit,fnv,16384,16384,bytes,21761582.0,ns,1562
64bit,fnv,16384,16384,bytes,22852216.0,ns,1633
64bit,fnv,16384,16384,bytes,23887348.0,ns,1704
64bit,fnv,16384,16384,bytes,24848979.0,ns,1775
64bit,fnv,16384,16384,bytes,25735706.0,ns,1846
64bit,fnv,16384,16384,bytes,27259054.0,ns,1917
64bit,fnv,16384,16384,bytes,28525594.0,ns,1988
64bit,fnv,16384,16384,bytes,28957907.0,ns,2059
64bit,fnv,16384,16384,bytes,29755433.0,ns,2130
64bit,fnv,16384,16384,bytes,30794664.0,ns,2201
64bit,fnv,16384,16384,bytes,31946101.0,ns,2272
64bit,fnv,16384,16384,bytes,32763427.0,ns,2343
64bit,fnv,16384,16384,bytes,33730857.0,ns,2414
